Current Area and City of Residence? ,A brief about you and your interests? ,Which of the following will best describe your current profession? ,Your startup/expertise lies in which of the following industries? (Try to be as specific as possible),What is your domain of expertise? (Try to be as specific as possible),Stage of your startup/Employer? ,Any specific connect you are currently seeking? ,Why are you seeking the above mentioned Connect? ,How do you think you can help other pushstarters? 
Pune,I am a software engineer passionate about technology.,"Under-Graduate Student, Working Professional","AI, Blockchain",Product Development,Don't have a startup,na,no,I can help to take decisions about technology selection. 
Pune,I am a freelancer Cinematographer / photographer . I have studied film making. ,Freelancer,Entertainment ,Cinematographer / Photographer ,Don't have a startup,pushconnect & photography / video shoot expert,Yeah..  trying to build the contacts. Looking for shoots ,It's a good platform to connect with startups 
"Paud Road, Pune","
I am the founder of Leapswitch Networks and CloudJiffy. CloudJiffy is India's 1st Platform-as-a-service (PaaS) supporting 8 Major application platforms (PHP, Java, ASP.NET, NodeJS, Python, Ruby, Go and Docker), featuring turnkey setup, automated vertical and horizontal scaling which allows businesses/startups to save 75% of your cost compared to Infrastructure-as-a-service-(IAAS) Cloud providers.

",Startup Founder (Service-based),Cloud Services,Operations,"Growth (multiple customer, positive revenue, making profits)",pushconnect,Gaining customers and networking,"Can help fellow pushstarters increase their application reliability, manage scale and reduce their Cloud infrastructure cost"
Pune,I am business developer by profession and wanna be a enthrupruner ,Working Professional,IT,"Sales, Digital Marketing",Early Growth (seeking seed/angel funding),na,No,Yes
Navi Mumbai - Kharghar,"I'm Hub operations Manager at Rise, Lower Parel and a part of 91springboard since last 2 years. Actively in touch with companies and startups in western region. My interests include new emerging tech based startups, primarily mobile app based businesses.",Working Professional,"Fin Tech, AI, Blockchain","Operations, Community building",Don't have a startup,,Need to connect with people understanding the new emerging ideas in the industry currently,Will be able to connect many startups with other entrepreneurs within 91springboard to get their issues sorted.
Dehradun,A corporate communications professional with a passion for travelling and handcrafted products,"Startup Founder (Service-based), Working Professional",Communications,"Operations, Digital Marketing, Community building",MVP (proof of concept is out with select customers),,"Client expansion, logistics and sustainable packing",Communication related
Vashi,"Remote work, entrepreneur ",Freelancer,Travel tech,"Operations, Sales, Community building",Ideation (brainstorming around few ideas),,No specific,To share my experience in remote work  culture 
Pune,"Digital marketer, E-commerce sector, like to meet people's , Talkative sometimes.","Under-Graduate Student, Startup Founder (Service-based)",Food Tech,"Digital Marketing, E-commerce Amazon Flipkart",Early Growth (seeking seed/angel funding),Ecommerce expert,"Looking for mentor from long time.
Please help me find one.",I can help you with the product selecting to product selling from any e-commerce platform.Or can give a seminar on same as well.
IIT Kanpur,"My expertise and interest lie in the area of Entrepreneurship, Team Management, Negotiations, Media, Consulting, Analytics, Copywriting, Sales, Designing, Public Relations, Marketing, Business development and Social Media.","Post-Graduate Student, Freelancer","Fin Tech, Blockchain, Marketing","Sales, Product Development, Product Design, Digital Marketing",Ideation (brainstorming around few ideas),,Networking ,Pro bono work
"Magarpatta City, Pune",I am a co-founder of a Startup known as Pink parrot (deal with cut fruit service),"Post-Graduate Student, Startup Founder(Product-based)",Food Tech,Sales,"Growth (multiple customer, positive revenue, making profits)",,always get some information to grow my startup.,I can help them with my speciality regarding food and food related services for their growth 
Pune,Active interest in mental health and working on creating a platform that starts an alternative to therapy in the world. ,Startup Founder (Service-based),"Mental Health, Online Media",Community building,Early Growth (seeking seed/angel funding),,"Connections, help with queries, and the unbelievable information that I'm used to. :)","Definitely with mental health -- understanding human beings, mental health industry. "
"Baner, Pune",I’m a startup enthusiast and entrepreneur. I love Driving and traveling.,Startup Founder (Service-based),Edu Tech,"Operations, Product Design, Digital Marketing, Community building",MVP (proof of concept is out with select customers),pushconnect,Networking,Providing referrals and collaborations
Pune,Full time technology entrepreneur. Interested in building cutting edge tech which can impact millions of people,"Startup Founder(Product-based), Startup Founder (Service-based)","VR, AR, Animation, VFX, Cloud, Big Data, DevOps, Digital Marketing","Operations, Product Development, Digital Marketing","Growth (multiple customer, positive revenue, making profits)",pushconnect,Nothing specific. Goal is to get to know other entrepreneurs and help anyone I can help,"Provide help , advice, networking and services"
Mumbai,"A digital marketing consultant , expert in marekting psychology and e commerce","Startup Founder (Service-based), Mentor",Marketing,Digital Marketing,"Growth (multiple customer, positive revenue, making profits)",,Growing and helping other people frow,"Supporting each other, knowledge sharing, skill sharing"
pune,I am currently heading Customer Success at one of the fastest growing AI based recruitment startup; CutShort.,"Working Professional, Startup Enthusiast :)",AI,"Operations, Sales, Product Development, Digital Marketing, Community building, Customer Success","Growth (multiple customer, positive revenue, making profits)",pushconnect,Looking to connect with like minded people,"Yes, definitely"
"Katraj, Pune",http://adcorporations.com,"Working Professional, Mentor","Agri Tech, Fin Tech, Health Tech, Food Tech, AI, Blockchain","Product Development, Product Design, Digital Marketing, Community building","Sold one company, on to another",pushconnect,"Sales, Lead Gen, People","Validation, Focus, Tracking, Measuring, Guidance on Improvement, References."
Mumbai,"Backpack Traveler, digital marketing",Freelancer,Travel,Digital Marketing,Don't have a startup,,Networking,By my experience in travel and digital marketing
BANGALORE,I am a CSE graduate and i have recently started my own venture into software,Startup Founder (Service-based),Software,Product Development,MVP (proof of concept is out with select customers),,"Yes, how to grow in a start up venture. Skills and ideas.",I can help other with my experience on starting a company and software related doubts
Pune,"I am a creative person, full of innovative ideas. I love interacting with like minded people. I love the Business Field of Marketing and I am an excellent researcher! ;) ","Working Professional, Freelancer, Working on a Startup Project. :) ","VR, AR, AI, Marketing, Research, Professional Development Training and Mentoring. ","Sales, Digital Marketing, Content Creator, Designing & Editing Stuff, etc. ",Ideation (brainstorming around few ideas),digital marketing founder & pushconnect,"Here for Knowledge Shairing, Seeking relevant connections, information and expertise and vice-versa. ","By providing them connections, industry specific knowledge l, research and brainstorming. :) "
"Pune, Mumbai, Hyderabad, Aurangabad, Bidar, Bangalore etc",A Pharmacist who is passionate and enthusiastic. Believe in nothing is impossible. A problem solver. There is a lot to bring a change in society where life could be better and easier.,"Post-Graduate Student, Working Professional, Mentor, Freelancer",Health Tech,Sales,Early Growth (seeking seed/angel funding),investor,Yes. Ideas and easy and practical ways to make it a reality. Need some investors too.,By experience sharing and may work as a freelancer. Actually depends.
Bengaluru,I am currently a Product Engineer and Manager at TapChief,"Startup Founder(Product-based), Working Professional","Agri Tech, Health Tech, AI","Product Development, Digital Marketing, Community building",Build team,,Networking and Team Building,With advice on Product Roadmap & Launch
Hyderabad,"Analytics , Big data , Deep Tech, AI , ML, Mobile",Product Manager,Mobile Product Analytics ,"Product Development, Product Design","Growth (multiple customer, positive revenue, making profits)",,Feedback to build and iterate product analytics and hyperpersonalisation to design to their needs and usecases. ,With their mobile product problems as I've designed products and worked with small & growth mobile companies with 1000DAU - Million DAU 
Wakad Pune,"Seasoned IT progressional embarking upon a new journey with a startup focused on Zone Fencing , Big Data and IOT ","Startup Founder(Product-based), Startup Founder (Service-based)","Agri Tech, AI, Blockchain, IOT","Product Development, Services organisation ",MVP (proof of concept is out with select customers),na,Exploring to understand the forum,Will know in some time 
Pimpri-Chinchwad,Salesforce agent,Working Professional,Food Tech,"Operations, Product Development",Ideation (brainstorming around few ideas),,No,Tech
Bhubaneswar,"Robotics , edtech ,product , manufacturing , iot ,AI Ml and data analytics","Post-Graduate Student, Startup Founder(Product-based)",Robotics,"Operations, Sales, Product Development, Product Design, Digital Marketing, Community building","Growth (multiple customer, positive revenue, making profits)",,"Networking , referral and support in product development",I can help all the pushstarters wanted to spread their business in Odisha or eastern India.
jaipur,"Ceo at UnionsApp, Faculty for ACCA (UK) and entrepreneurs, resident mentor for more than 100 students, coder, WordPress developer","Startup Founder (Service-based), Mentor",Social network ,"Operations, Sales, Product Development, Product Design, Digital Marketing, Community building",Early Growth (seeking seed/angel funding),,Help us in raising seed funding. ,"Community platform, for Push starters where you can collect payments : its like owning your own mini social network "
Pune,LinkedIn.com/in/adese,"Under-Graduate Student, Startup Founder(Product-based), Working Professional, Mentor, Freelancer","Agri Tech, Food Tech","Operations, Sales, Digital Marketing, Community building",Ideation (brainstorming around few ideas),na,Not applicable,By connecting with potential investors 
Pune,Networking,"Working Professional, Freelancer",Web development,Digital Marketing,Ideation (brainstorming around few ideas),website development expert,Help to execution of idea,Networking
Bangalore,Working over community management as a domain. ,"Startup Founder (Service-based), Mentor, Freelancer",Community Management ,"Digital Marketing, Community building, Content ","Growth (multiple customer, positive revenue, making profits)",,Nothing as such ,Connects n mentoring 
"Pimpri Chinchwad, Pune","Digital Marketing, Data science, Environmental sustainability","Startup Founder(Product-based), Freelancer","Food Tech, AI, Shared economy","Sales, Digital Marketing",Ideation (brainstorming around few ideas),,Can you do something like a Y Combinator startup school for new entrepreneurs in Pune? ,I am connected to people in the environmental sustainability space in case it helps. 
Pune,I am a professional automotive detailer. Interests are mainly all related to automobiles. Cars = Life !,Startup Founder (Service-based),Automotive,Operations,"Growth (multiple customer, positive revenue, making profits)",pushconnect,Looking for CRM and Store management software for multiple outlets.,"Well, I can help connecting a lot of people who need help or links in automotive industry. Specifically passenger car segment."
"Kharadi, Pune.",Born and brought up in Bombay. Engineering from Pune. Thoroughly enjoying the startup Journey -  real world MBA. Love listening to Podcasts. ,"Startup Founder (Service-based), Mentor","Strategy - Mfg, Product, Service.","Operations, Sales, Product Development, Product Design, Community building","Growth (multiple customer, positive revenue, making profits)",pushconnect,"Networks, Wisdom from the Experts.","I'd love to help the push starters go from idea to execution. Specifically would help to help across Launch, Technology, Branding, Brainstorming and Strategic Decision Making Frameworks. "
Pune,"Co-founder, Pariksha.Co
Product Geek, specialises in hierarchy of engagement",Startup Founder (Service-based),Education Technology,"Sales, Product Development","Growth (multiple customer, positive revenue, making profits)",pushtalent,Hiring,Deep understanding of internet products for the next billion.
"Baner, Pune","SaaS, Investing, syndicate","Startup Founder(Product-based), Angel Investor","Agri Tech, Fin Tech, Health Tech, Food Tech, VR, AR, AI, Blockchain","Operations, Sales, Product Development, Product Design, Digital Marketing, Community building","Growth (multiple customer, positive revenue, making profits)",investor & pushtalent,Team building and raising funds upto 1 Cr for multiple ,"Mentoring, Product marketing, Evangelism Go to market strategy"
Wadgaon Sheri and Pune,I am working as a community manager for livspace and also am a freelancing makeup artist ,"Startup Founder (Service-based), Working Professional, Freelancer",Makeup and interiors ,"Operations, Sales","Sold one company, on to another",pushconnect,Strong connect with like minded people ,With my references and ideas
Bangalore ,In branding ,"Post-Graduate Student, Working Professional, Freelancer","Agri Tech, Fin Tech, Health Tech, VR, AR, AI","Product Development, Digital Marketing, Community building",Don't have a startup,,Looking for good networking. ,My understanding on branding. 
Mumbai,"User Experience Design, Product Design","Working Professional, Freelancer","Fin Tech, Health Tech",Product Design,Don't have a startup,,Leads,Branding
"Jagatpura, Jaipur","I'm currently in my senior year of Engineering in IT stream. I'm a Mobile & Web Developer, Amateur Photographer and a Tech Blogger as well. ",Under-Graduate Student,"VR, AR, AI, Blockchain, Mobile & Web Application Development","Product Development, Product Design, Community building",Don't have a startup,,Gain knowledge from industry experts.,By sharing my knowledge with others
Mumbai and Pune,A corporate professional and a management student from Symbiosis currently working on my startup. Area of interests is entrepreneurship and technology.,"Post-Graduate Student, Startup Founder (Service-based), Working Professional","Fin Tech, Food Tech, AR, AI","Product Development, Community building",MVP (proof of concept is out with select customers),pushconnect & nothing specific,Creating awareness about the startup idea and also looking for experts from varied industries to help contribute to the startup.,A platform to promote their ideas to a larger audience. 
Pune,"Pursuing BE l in computer science and having interest in blockchain, debugging applications shortly having an experience as a penetration tester.",Under-Graduate Student,"Blockchain, Security","Operations, Product Design, Cyber security",Don't have a startup,na,Guidance and expertise to do startup planning,By sharing knowledge that I have... Opportunities with which i'm going to be familiar with...
"Gurugram, Haryana ","Engineering Graduate, worked with several startups building MVPs for them, currently assisting several VCs in making fine investment decisions ",Working Professional,"Agri Tech, Fin Tech, Health Tech, Food Tech, AI, Blockchain","Sales, Product Development",Don't have a startup,,I am looking to learn more about the startups PushStarters are building. ,"I can probably help PushStarters in raising funds, if needed."
"Modinagar, Ghaziabad","I'm pursuing Btech in CSE, from SRM Institute of Science and Technology. Academically I have developed an enthusiasm towards data science and trying to explore it. In life I have an aspiration towards Entrepreneurship and would like to work on it when I can.","Under-Graduate Student, Freelancer",Digital Marketing,Digital Marketing,Don't have a startup,,Networking with Like minded people. And learn from their experience. Help me explore Data Science if possible,I can help in exploring Youth and how to penetrate your services to reach youth Masses. Also I can help explore Digital Marketing.
North Delhi,I want to open a startup and i love yo connect with like minded people and learn from them.,Working Professional,Marketing automation,Product Development,Ideation (brainstorming around few ideas),,Yes i want to learn a lot from other pushstarters but there is nothing specific.,I will contribute my knowledge whatever i knwo and get to know something important.
Bhopal / Mumbai,"A NIT-Bhopal graduate with entrepreneurial mindset. After graduation, was busy building an awesome product - inOne (previously getyana.com) where I dynamically overlooked domains of business development, operations and marketing. Post that, I worked as a strategy and innovation consultant for Bank of Baroda where I assisted senior management to incorporate new and innovative technologies into the banking system. ","Startup Founder(Product-based), Freelancer","AI, Media / Education","Operations, Product Development, Digital Marketing",MVP (proof of concept is out with select customers),,1. Connections 2. General Questions on the go,1. Digital marketing 2. Connections 3. My 2 cents on building a startup from scratch
Bangalore,Ex- Boeing | Ex- Airbus .Now founder of company called Airytails ,"Startup Founder(Product-based), Startup Founder (Service-based)",Aerospace & Aviation,"Operations, Sales",MVP (proof of concept is out with select customers),,Looking for organic ways to promote Airytails and looking for collaborations. ,Any help with Digital Marketing and community building
Pune,"Currently working in Tata Motors as Senior Manager in development. Apart from this, I am a part of a non profit edtech startup, Internity Foundation. Free time trading & music entertains me.",Working Professional,Automobile / Edtech ,"Operations, Product Development",Early Growth (seeking seed/angel funding),investor,"Knowledge sharing, experience & funds","Through our product, we can collaborate with other edtech startups & offer technical, knowledge sharing & workshop based support."
Bengaluru,Trying my luck with Entrepreneurship,"Startup Founder (Service-based), Freelancer",AI,"Operations, Product Development",MVP (proof of concept is out with select customers),,Need help with inputs on finding client leads.,Help them connect with freelancers in technology domian.
Nomad,"Tech Consultant, 8+ years startup experience","Angel Investor, Mentor",Hardware,"Operations, Product Development, Community building","Sold one company, on to another",,Connect with the community,"Network, Startup support, Incubation, Mentoring"
"Koramangala, Bangalore","I am currently working as a Manager in the Analytics domain for banking/finance clients. However, I am an aspiring entrepreneur and wish to start my own thing. I love to read about startups and I stay abreast with all the happenings in the startup eco system.",Working Professional,"Fin Tech, Health Tech, Hospitality","Product Development, Risk Manager",Don't have a startup,,I want to interact and learn from the experience of pushstarters in order to use the knowledge for my own startup,I can help pushstarters by providing my knowledge and experience to them. I have worked in a startup before and understand the challenges which an early stage venture faces.
Pune,Digital Marketing & Growth Hacking,Startup Founder (Service-based),Edtech,Digital Marketing,Early Growth (seeking seed/angel funding),pushconnect,Networking,Helping them growth their business with my powerful digital marketing & growth skillsets
"Pune, India","Coaching, entrepreneurship, career transitions, creating high potential entrepreneurs and professionals","Startup Founder (Service-based), Angel Investor, Mentor, Freelancer","Strategy, revenue scale-up, investor relations across sectors","Sales, Product Development, Community building","Growth (multiple customer, positive revenue, making profits)",fb,Knowledge exchange,Helping them scale up globally and be specialists in investor relations
Pune ,Founder of Smidnya Technologies. Smidnya is working on track and trace solutions ,"Startup Founder(Product-based), Startup Founder (Service-based), Angel Investor","Agri Tech, AI","Operations, Sales, Product Development","Growth (multiple customer, positive revenue, making profits)",tech investor,Seeking investors ,Sharing experiences 
"Pune, IN",An engineer - turned product manager - turned startup co-founder,"Startup Founder(Product-based), Angel Investor","Health Tech, AI","Product Development, Product Design","Growth (multiple customer, positive revenue, making profits)",growth hack expert,Growth mentoring,"Networking, guidance, mentoring, and brain storming"
"Magarpatta, Pune",I am the Founder & CEO of Indian Insiders. Indian Insiders helps you to understand the Indian market by providing a personalized assessment of your product or service in India.,"Startup Founder(Product-based), Startup Founder (Service-based)",Market & User Research,"Product Development, Product Design, Market & User Research",Early Growth (seeking seed/angel funding),pushconnect,Networking & Business,Connecting like minded people and active community 
Pune,Women Entrepreneurs ,"Startup Founder (Service-based), Freelancer","Sports, Digital Marketing","Digital Marketing, Community building",Early Growth (seeking seed/angel funding),sports investor,"Connecting with investors, help developing pitch ",Mentor Female Entrepreneurs 
Pune,"I am BE mechanical from Pune and have launched an App. shareAmeals , meal sharing App for solo travelers students and tourists for having complete meal at economical cost.",Startup Founder(Product-based),Food Tech,Sales,MVP (proof of concept is out with select customers),food investor & pushconnect,"Brand building , networking & seed funding",With my experience in  sales & business development and can help community members to grow their business revenue
Mumbai,I manage the community umbrella for redbrick offices and I enjoy meeting & interacting with new people ,Working Professional,All of the above,Community building,Don't have a startup,,Nope nothing specific,Yes maybe
Navi Mumbai,"Experienced professional with a demonstrated history of working in the Information Technology and Services industry. Skilled in Business Development, Sales and Marketing, Negotiation, Customer Relationship Management (CRM), Market Research, Management, and Start-ups.","Startup Founder(Product-based), Startup Founder (Service-based)",Food Tech,"Operations, Sales, Strategic Growth",Early Growth (seeking seed/angel funding),,Restaurant connects and networking,"I have some experience in Business Developement, Sales and strategy growth for early stage startups. "
Kharadi Pune,"Startup mentoring, Advisor, Consulting","Startup Founder(Product-based), Startup Founder (Service-based), Mentor","Health Tech, AI, Data Analytics, Machine Learning","Product Development, Product Design, Digital Marketing",8 years old company. Working on product and services,NA,I am here to help startup community,"Mentoring, Advising, Consulting"
Pune,"Mentoring, Startup Building, Entrepreneurship coaching","Working Professional, Mentor","Health Tech, MarkTech","Sales, Digital Marketing",Early Growth (seeking seed/angel funding),na,NA,Support in their startup journey or network connects
"Wanowrie, Pune","Founder @Smart Foods,  a company that envisions to provide health foods made with traditional & contemporary ingredients, which promotes nutritional and responsible eating. Formerly worked as Global Brand Manager for a luxury tech company in Singapore. Passionate about Millets and wish to position it as the new Quinoa in the $350 billion global health food market. ",Startup Founder(Product-based),"Agri Tech, Health Tech, Food Tech","Product Development, Brand & Marketing Strategy",Early Growth (seeking seed/angel funding),food industry expert,Mentorship ,Brand & Marketing Strategy for their product / service
Bangalore,"I am founder of company Sapiens Innospace. We are communities enablers.
I am here to meet like minded people making good connection etc","Startup Founder(Product-based), Mentor","Agri Tech, Fin Tech, Health Tech, VR, AI, Blockchain","Product Development, Digital Marketing, Community building",Early Growth (seeking seed/angel funding),,Good connection. ,"Giving mentorship in product development and launching them in to market, "
Hyderabad,"Rahul is born with the mind focused at business and betterment of humanity in and around, his first “Open Source” Project was a Quiz Knowledge Base while he was in Class 5-10.
He is a from a science background and did Bachelor of Technology in Computer Science & Engineering.
He has earned various awards in business. Those are critical for a business personal to achieve just at the start of his career. Out of the box thinking made him the patent holder of a unique product in Education & Training. 
Rahul loves to reach out to people those who think and are willing to bring a change to the way things traditionally works.
He always wears the user's hat and be the critic of our own services.
His core strengths are his wide industry experience, out of the box thinking, network, and his willingness to ""Go For It"".","Startup Founder(Product-based), Startup Founder (Service-based)","AI, Blockchain","Operations, Product Design",MVP (proof of concept is out with select customers),,"Looking for external projects (Project Cost > $10000) in
Deep Learning
Analytics
Digital currencies
Blockchains
Automation
Application Optimisation
Industrial IoT
Assisted Automation
Artificial Intelligence",Providing our services and high end experienced resources at a reasonable cost.
Mumbai,"Engineer/MBA with a experience in youth marketing, media and entertainment. Co-founder of Flarepath (content marketing firm), ATKT (campus platform), Kleinetics (kids fitness). 
I love teaching, dad jokes, coffee and Jedis. ","Startup Founder(Product-based), Mentor",Media and content,"Digital Marketing, Community building","Sold one company, on to another",,Funding connections,"Marketing, Brand building, digital/social/content marketing, team building"
Pune,"Business strategy, finance, compliances",Startup Founder(Product-based),Market analysis and finance,"Operations, Sales, Product Development",MVP (proof of concept is out with select customers),cloth export import expert,Export regulations,Company formation guidance
Pune,Philosophy and Politics,"Startup Founder (Service-based), Working Professional, Freelancer",App Tech,"Operations, Sales, Product Design",MVP (proof of concept is out with select customers),wedding management expert,"Mentorship 
Expansion ","Discussion, 
Brain storming,
Networking,
Free lancing etc "
Mumbai,I am an data analyst with 12 + years of experience in analytics industry.I have worked primarily in the bfsi and consulting domain with big players like citibank and deloitte. I am currently a founding member of an online teaching platform called Irizpro Learning Solutions.Apart from exploring the new techniques and tools in the analytics and data science world my interest lies in training and travelling,Startup Founder (Service-based),"AI, Data science and analytics",Analytics,Early Growth (seeking seed/angel funding),,"networking, discussion on training needs of other start ups","other pushstarters could be made aware of our customised training solutions in the area of digital marketing, sales and analytics...upskilling is the key to growth and being updated with recent trends in the market on the above mentioned functional areas is critical for not only working professionals but entreprenuers as well"
Pune,"Ashish has worked for more than 13 years in the IT industry for top Banking institutes in the world for Compliance and Financial Crime domains. Ashish is also a lawyer too and is now focusing on his passion for Technology & Law, by way of expanding our family law office into “Nyaya Niti – A strategic legal consultancy firm”. The firm will provide corporate & professional legal solutions across the domains, jurisdictions and forums. The firm will be driven by the core ethical values & will be operated using cutting-edge technologies and cross-domain expertise. The firm has an excellent mix of the wealth of wisdom & experience of the seniors with a plethora of freshness & technology expertise from youngsters.   

In the last few years, he has participated in the *World Bank’s “Land and Poverty Conference” in Washington DC* and presented papers the topics of issues & possible solutions for *Land Acquisition and Investment Landscape in India* during March 2017 and 2018 respectively. Later presented the subject of *Vedic Jurisprudence* and its contemporary application during World Hindu Congress, at Chicago. He was also invited to speak on the role of ADR, *Arbitration & Mediation in resolving Technology Disputes* at National Law School India University, Bangalore.  He also gave a presentation on the *Legal aspects of Blockchain in Financial Industry* at an industry conference organized by Thoughtworks.

We, at Nyaya Niti, also realized that as a society there is a need for inter-disciplinary legal research and policy organization. Therefore, we had several consultations with seniors and colleagues from various domains such as Medicine, Finance, Engineering, Technology, Sciences, Media and Law. We have decided to incorporate “Nyaya Niti Foundation”, which will be dedicated to the quality legal aid, policy research on the current legal challenges, and will also conduct a study of Vedic / Indic Jurisprudence. ","Startup Founder (Service-based), Mentor, Techno Legal Expert","Agri Tech, Fin Tech, Health Tech, Food Tech, AI, Blockchain, Reg Tech and Legal Tech","Operations, Community building, Legal","Growth (multiple customer, positive revenue, making profits)",pushconnect,Community network,Can help by advising in Legal and domain issues for domestic and international operations. 
"Wanowrie, Pune","Originally from Kolhapur, Maharashtra. Completed the Standard Process of Engg + MBA and worked for 8 years in IT companies such as IBM, United Health Group etc. as a Project Manager. 
Caught the Entrepreneurial bug 3 years ago and been on a journey in Food Industry since then. Launched a venture named ""Mumma's Box"" (www.mummasbox.com)",Startup Founder (Service-based),Food Tech,"Operations, Sales",Early Growth (seeking seed/angel funding),pushconnect,Looking to interact with like-minded fellow entrepreneurs within the city,"Over the last 3 years, I hve built a decent network in the Food sector and can certainly help provide help in that sector. "
"Wakad, Pune","An engineer by education and Entrepreneur by choice, with a demonstrated history of working in the information technology and services industry. Keen Interest in Business Development and Marketing.","Startup Founder(Product-based), Startup Founder (Service-based)","Health Tech, Blockchain","Operations, Sales, Product Development","Growth (multiple customer, positive revenue, making profits)",pushconnect,Networking & Business/Lead Generation,Having good Network & various domains expertise 
Kolkata,"Music, Art, Concert Lighting, Visual Artist","Working Professional, Freelancer",VR,Digital Marketing,"Growth (multiple customer, positive revenue, making profits)",,No clue yet..,No clue yet
"Baner, Pune",An entrepreneur at heart who likes to solve problems with a scalable tech based solution,Startup Founder(Product-based),"AI, Blockchain","Product Development, Product Design, Digital Marketing",MVP (proof of concept is out with select customers),pushconnect & blockchain plus pharma manufacturing expert,Networking and access to leads,"Brainstorm Product - Market fitment, Scaling up products, Tech design considerations"
Pune,"I am from the JBIMS 2004 Marketing batch.  I've been a corporate banker for several years (ICICI Bank, HSBC, Citibank) before quitting to be an author.  Writing is my passion.  My first novel, a crime thriller called ""Shot, Down"", has been published by Hachette.  My startup, Readify, is a perfect combination of my interests in literature and startups. ",Startup Founder(Product-based),Pub Tech,"Sales, Product Development, Marketing",Early Growth (seeking seed/angel funding),"investor, hr expert, story writing product expert","1. Hiring: being a small startup, we don't have an HR team, hence referrals from fellow entrepreneurs could be helpful
2. Product feedback: we are about to launch a new product; it would be nice to receive some unbiased feedback
3. Word-of-mouth: with a limited marketing budget, any help in spreading word about our new product would be helpful
4. Fund-raising: connections with the relevant angel investors would be great","1. Product testing and feedback
2. Ideation on startup ideas and solutions"
"Madhapur, HiTec City, Hyderabad","Startup, Product development, Sales, Mentoring","Startup Founder (Service-based), Angel Investor, Mentor","Agri Tech, Fin Tech, Health Tech, AI, Blockchain","Sales, Product Development, Community building","Sold one company, on to another",,Networking and Community building,"Mentoring, Sales Knowledge, Investments and M&A"
"Wakad, Pune","We deal with Corporate Events, Wedding Planner, CSR Activities, Supply of Merchandise Products (Sales and Services), Audio - Visual Technical Support, Photography, Decoration Setups, Printing, Catering, Celebrity & Artist Management.","Startup Founder(Product-based), Startup Founder (Service-based), Working Professional, Mentor","Food Tech, Corporate Events, Wedding Planner, CSR Activities, Supply of Merchandise Products (Sales and Services), Audio - Visual Technical Support, Photography, Decoration Setups, Printing, Catering, Celebrity & Artist Management.","Operations, Sales, Events",Early Growth (seeking seed/angel funding),event planning investor,Investor and Corporate Links,"Networking, Marketing, Motivation Speech or Guidance"
"Alankapuram Society, Pune","Hello,
I graduated as a BTech in E&Tc from College of engineering, Pune in 2013. 
Right after graduation I started a startup called Embedgallery. Embedgallery is an hardware IoT startup currently having products in agriculture and water management solutions. 
My main interests are Agriculture, Education and Spirituality.",Startup Founder(Product-based),Agri Tech,"Sales, Product Design, Digital Marketing","Growth (multiple customer, positive revenue, making profits)",na,Not as such right now but I'm sure I'll be needing a lot of help in coming times.,I can help in preparing go to market strategies for products.
"Bavdhan ,Pune",I am passionate entrepreneur and like to meet new people and learn from them. ,Under-Graduate Student,VR,Community building,Early Growth (seeking seed/angel funding),,Developing the Business,Helping them with my network and resources.
Mumbai,Founder at Vezado | Serial Entrepreneur | Corporate Innovation | Startup Investor | Startup Mentor | Influencer,"Startup Founder (Service-based), Mentor, VC","Agri Tech, Fin Tech, Health Tech, Food Tech, VR, AR, AI, Blockchain","Operations, Sales, Product Development, Product Design, Digital Marketing, Community building",Investor / Startup,,No,Yes
Mumbai,"Investment Banker, Angel Investor","Angel Investor, VC","Agri Tech, Fin Tech, Health Tech, Food Tech, AI, Blockchain",Finance and Fund Raising,Don't have a startup,,Looking for good startups to invest,"Mentoring, funding and Fund Raise"
Gurgaon,"Entrepreneur, Skilling, Student Community, Ad Agency, like to know more people and explore ideas. love to work with diverse people and collaborate.","Startup Founder(Product-based), Startup Founder (Service-based)","Skilling, Marketing Agency","Operations, Sales, Digital Marketing, Community building",Early Growth (seeking seed/angel funding),,Growth and Scaling of Startup /Business,"Share experience, help connect people"
"Malad East, Mumbai","I am independany working as HR consultant, also associated with one of US based global HR consultancy. Amy thing of human resource can be prescribed as my interest.","Working Professional, Freelancer",Human Resource,Human Resource,Don't have a startup,,No,I can help people by solving sny issues of Human resources and related systems/policies
"Pune, Pimple Saudagar",Working with passionate people in the field of A.I.,"Startup Founder(Product-based), Startup Founder (Service-based)","Fin Tech, VR, AR, AI, Computer Vision, Embedded devices, Game theory","Operations, Product Development, Product Design",Early Growth (seeking seed/angel funding),,Recruitment,Mentorship in the field of A.I.
Bangalore,"Creative technologist. Entrepreneur, UX Researcher and Designer.
Design Innovator | Value innovator | Product Guy

Other interests: Political Philosophy, Ancient History, Society, Anthropology, Physics, and Space
 
Music lover: play Piano and Guitar (Lead a College band). 

Cricket player and lover: Played club cricket for 6 years and captained college cricket team

 Artist, Charcoal painter (Make life-like charcoal paintings)",Startup Founder(Product-based),Natural User Interfaces,Product Design,"Growth (multiple customer, positive revenue, making profits)",,Hiring for Senior Android devs and Full stack engineers,"I can help in UX Design and Research, Product design, and Since I've raised funds, I can guide startups in raising angel/seed round"
