,About your interest,Briefs and Interests,Stage of your startup/Employer?,Specific Connect,Reason for specific connect,Helping for others,area,city,expertise0,expertise1,expertise2,expertise3,expertise4,startup1,startup2,startup3,startup4,startup5,startup6,startup7,startup8,startup9
312,have been building software for last 19 years currently running a virtual reality startup httpswalkintoin,Startup Founder(Product-based),Early Growth (seeking seed/angel funding),na,"Nothing at the moment, just connecting with like minded people.","With my expertise in software product development, I can help other pushstarters on ideation/strategy as well technology for their software product development. Also we have been able to build a global community of our users remotely, so I can help other pushstarters in sharing that knowledge.",Pune,,Operations, Product Development,,,,Health Tech, VR,,,,,,,
313,i am a trainer at digital vidya and have conducted digital marketing workshops for organizations for startups and entrepreneurs i am also cofounder of wicked broz which is indias premier graffiti agency digital marketing is a doorway to success in all industries now and in the future it is the one ring to rule them all the one who digs the internet the deepest and collects the secret gems of insight from all his projects will be the master of this magic kingdom wicked broz solves the problem of how to make a living as an artist in india i help artists find graffiti and street art commissions help them with their online branding and organize public art projects which popularize this movement across indian cities i have helped create a powerful social media presence for the brand which complements our offline efforts there are two things that motivate me to do things the way i do one is the realization that i could die any day life is unpredictable another is a quote by eric ries i eat failures for breakfast powerful huh i know its a long journey and i know there will be failures on the way but i get up everyday thinking the same two things open to chat about digital marketing strategies and my favorite graffiti artists,"Startup Founder (Service-based), Freelancer",Early Growth (seeking seed/angel funding),,Connects and resolving urgent issues with digital marketing or generic information,Resolving their digital marketing related queries and connecting them to my friends in various fields. ,Kota,,Operations, Sales, Digital Marketing, Community building,,Art,,,,,,,,
314,not much of an out person love for heated discussions competitive coding deep learning internship currently busy with placements,Under-Graduate Student,Don't have a startup,,"Currently learning, in 2 3 months will be looking for a job. Any specific connections from push starters might be helpful",I can help them with code only for the time being. Still an undergraduate so all I had is knowledge and exposure that I got from internship.,Roorkee,,Coding (mainly competitive never had exposure),,,,,AI,,,,,,,,
315,plastic moulding large scale agriculture irrigation system mold manufacturing,"Startup Founder(Product-based), Startup Founder (Service-based), Working Professional","Growth (multiple customer, positive revenue, making profits)",,Networking ,Mold manufacturing ,Nashik,,Sales, Product Development, Product Design,,,Agri Tech,,,,,,,,
316,i am leading product management academy pragmatic leaders for india as a geography,"Startup Founder (Service-based), Angel Investor, Mentor","Sold one company, on to another",pushconnect & whatsapp,Connections with the community,"Product related queries, hiring and connections in VC",I reside in Delhi," but keep moving for work to Pune, Mumbai, Bangalore and Hyderabad",Sales, Product Design, Digital Marketing, Community building,,Fin Tech, Health Tech, Blockchain,,,,,,
317,i am a software engineer passionate about technology,"Under-Graduate Student, Working Professional",Don't have a startup,na,no,I can help to take decisions about technology selection. ,Pune,,Product Development,,,,,AI, Blockchain,,,,,,,
318,i am a freelancer cinematographer  photographer  i have studied film making,Freelancer,Don't have a startup,pushconnect & photography / video shoot expert,Yeah..  trying to build the contacts. Looking for shoots ,It's a good platform to connect with startups ,Pune,,Cinematographer / Photographer ,,,,,Entertainment ,,,,,,,,
319,i am the founder of leapswitch networks and cloudjiffy cloudjiffy is indias 1st platformasaservice paas supporting 8 major application platforms php java aspnet nodejs python ruby go and docker featuring turnkey setup automated vertical and horizontal scaling which allows businessesstartups to save 75 of your cost compared to infrastructureasaserviceiaas cloud providers,Startup Founder (Service-based),"Growth (multiple customer, positive revenue, making profits)",pushconnect,Gaining customers and networking,"Can help fellow pushstarters increase their application reliability, manage scale and reduce their Cloud infrastructure cost",Paud Road, Pune,Operations,,,,,Cloud Services,,,,,,,,
320,i am business developer by profession and wanna be a enthrupruner,Working Professional,Early Growth (seeking seed/angel funding),na,No,Yes,Pune,,Sales, Digital Marketing,,,,IT,,,,,,,,
321,im hub operations manager at rise lower parel and a part of 91springboard since last 2 years actively in touch with companies and startups in western region my interests include new emerging tech based startups primarily mobile app based businesses,Working Professional,Don't have a startup,,Need to connect with people understanding the new emerging ideas in the industry currently,Will be able to connect many startups with other entrepreneurs within 91springboard to get their issues sorted.,Navi Mumbai - Kharghar,,Operations, Community building,,,,Fin Tech, AI, Blockchain,,,,,,
322,a corporate communications professional with a passion for travelling and handcrafted products,"Startup Founder (Service-based), Working Professional",MVP (proof of concept is out with select customers),,"Client expansion, logistics and sustainable packing",Communication related,Dehradun,,Operations, Digital Marketing, Community building,,,Communications,,,,,,,,
323,remote work entrepreneur,Freelancer,Ideation (brainstorming around few ideas),,No specific,To share my experience in remote work  culture ,Vashi,,Operations, Sales, Community building,,,Travel tech,,,,,,,,
324,digital marketer ecommerce sector like to meet peoples  talkative sometimes,"Under-Graduate Student, Startup Founder (Service-based)",Early Growth (seeking seed/angel funding),Ecommerce expert,"Looking for mentor from long time.
Please help me find one.",I can help you with the product selecting to product selling from any e-commerce platform.Or can give a seminar on same as well.,Pune,,Digital Marketing, E-commerce Amazon Flipkart,,,,Food Tech,,,,,,,,
325,my expertise and interest lie in the area of entrepreneurship team management negotiations media consulting analytics copywriting sales designing public relations marketing business development and social media,"Post-Graduate Student, Freelancer",Ideation (brainstorming around few ideas),,Networking ,Pro bono work,IIT Kanpur,,Sales, Product Development, Product Design, Digital Marketing,,Fin Tech, Blockchain, Marketing,,,,,,
326,i am a cofounder of a startup known as pink parrot deal with cut fruit service,"Post-Graduate Student, Startup Founder(Product-based)","Growth (multiple customer, positive revenue, making profits)",,always get some information to grow my startup.,I can help them with my speciality regarding food and food related services for their growth ,Magarpatta City, Pune,Sales,,,,,Food Tech,,,,,,,,
327,active interest in mental health and working on creating a platform that starts an alternative to therapy in the world,Startup Founder (Service-based),Early Growth (seeking seed/angel funding),,"Connections, help with queries, and the unbelievable information that I'm used to. :)","Definitely with mental health -- understanding human beings, mental health industry. ",Pune,,Community building,,,,,Mental Health, Online Media,,,,,,,
328,im a startup enthusiast and entrepreneur i love driving and traveling,Startup Founder (Service-based),MVP (proof of concept is out with select customers),pushconnect,Networking,Providing referrals and collaborations,Baner, Pune,Operations, Product Design, Digital Marketing, Community building,,Edu Tech,,,,,,,,
329,full time technology entrepreneur interested in building cutting edge tech which can impact millions of people,"Startup Founder(Product-based), Startup Founder (Service-based)","Growth (multiple customer, positive revenue, making profits)",pushconnect,Nothing specific. Goal is to get to know other entrepreneurs and help anyone I can help,"Provide help , advice, networking and services",Pune,,Operations, Product Development, Digital Marketing,,,VR, AR, Animation, VFX, Cloud, Big Data, DevOps, Digital Marketing,
330,a digital marketing consultant  expert in marekting psychology and e commerce,"Startup Founder (Service-based), Mentor","Growth (multiple customer, positive revenue, making profits)",,Growing and helping other people frow,"Supporting each other, knowledge sharing, skill sharing",Mumbai,,Digital Marketing,,,,,Marketing,,,,,,,,
331,i am currently heading customer success at one of the fastest growing ai based recruitment startup cutshort,"Working Professional, Startup Enthusiast :)","Growth (multiple customer, positive revenue, making profits)",pushconnect,Looking to connect with like minded people,"Yes, definitely",pune,,Operations, Sales, Product Development, Digital Marketing," Community building, Customer Success",AI,,,,,,,,
332,httpadcorporationscom,"Working Professional, Mentor","Sold one company, on to another",pushconnect,"Sales, Lead Gen, People","Validation, Focus, Tracking, Measuring, Guidance on Improvement, References.",Katraj, Pune,Product Development, Product Design, Digital Marketing, Community building,,Agri Tech, Fin Tech, Health Tech, Food Tech, AI, Blockchain,,,
333,backpack traveler digital marketing,Freelancer,Don't have a startup,,Networking,By my experience in travel and digital marketing,Mumbai,,Digital Marketing,,,,,Travel,,,,,,,,
334,i am a cse graduate and i have recently started my own venture into software,Startup Founder (Service-based),MVP (proof of concept is out with select customers),,"Yes, how to grow in a start up venture. Skills and ideas.",I can help other with my experience on starting a company and software related doubts,BANGALORE,,Product Development,,,,,Software,,,,,,,,
335,i am a creative person full of innovative ideas i love interacting with like minded people i love the business field of marketing and i am an excellent researcher ,"Working Professional, Freelancer, Working on a Startup Project. :) ",Ideation (brainstorming around few ideas),digital marketing founder & pushconnect,"Here for Knowledge Shairing, Seeking relevant connections, information and expertise and vice-versa. ","By providing them connections, industry specific knowledge l, research and brainstorming. :) ",Pune,,Sales, Digital Marketing, Content Creator, Designing & Editing Stuff, etc. ,VR, AR, AI, Marketing, Research, Professional Development Training and Mentoring. ,,,
336,a pharmacist who is passionate and enthusiastic believe in nothing is impossible a problem solver there is a lot to bring a change in society where life could be better and easier,"Post-Graduate Student, Working Professional, Mentor, Freelancer",Early Growth (seeking seed/angel funding),investor,Yes. Ideas and easy and practical ways to make it a reality. Need some investors too.,By experience sharing and may work as a freelancer. Actually depends.,Pune," Mumbai, Hyderabad, Aurangabad, Bidar, Bangalore etc",Sales,,,,,Health Tech,,,,,,,,
337,i am currently a product engineer and manager at tapchief,"Startup Founder(Product-based), Working Professional",Build team,,Networking and Team Building,With advice on Product Roadmap & Launch,Bengaluru,,Product Development, Digital Marketing, Community building,,,Agri Tech, Health Tech, AI,,,,,,
338,analytics  big data  deep tech ai  ml mobile,Product Manager,"Growth (multiple customer, positive revenue, making profits)",,Feedback to build and iterate product analytics and hyperpersonalisation to design to their needs and usecases. ,With their mobile product problems as I've designed products and worked with small & growth mobile companies with 1000DAU - Million DAU ,Hyderabad,,Product Development, Product Design,,,,Mobile Product Analytics ,,,,,,,,
339,seasoned it progressional embarking upon a new journey with a startup focused on zone fencing  big data and iot,"Startup Founder(Product-based), Startup Founder (Service-based)",MVP (proof of concept is out with select customers),na,Exploring to understand the forum,Will know in some time ,Wakad Pune,,Product Development, Services organisation ,,,,Agri Tech, AI, Blockchain, IOT,,,,,
340,salesforce agent,Working Professional,Ideation (brainstorming around few ideas),,No,Tech,Pimpri-Chinchwad,,Operations, Product Development,,,,Food Tech,,,,,,,,
341,robotics  edtech product  manufacturing  iot ai ml and data analytics,"Post-Graduate Student, Startup Founder(Product-based)","Growth (multiple customer, positive revenue, making profits)",,"Networking , referral and support in product development",I can help all the pushstarters wanted to spread their business in Odisha or eastern India.,Bhubaneswar,,Operations, Sales, Product Development, Product Design," Digital Marketing, Community building",Robotics,,,,,,,,
342,ceo at unionsapp faculty for acca uk and entrepreneurs resident mentor for more than 100 students coder wordpress developer,"Startup Founder (Service-based), Mentor",Early Growth (seeking seed/angel funding),,Help us in raising seed funding. ,"Community platform, for Push starters where you can collect payments : its like owning your own mini social network ",jaipur,,Operations, Sales, Product Development, Product Design," Digital Marketing, Community building",Social network ,,,,,,,,
343,linkedincominadese,"Under-Graduate Student, Startup Founder(Product-based), Working Professional, Mentor, Freelancer",Ideation (brainstorming around few ideas),na,Not applicable,By connecting with potential investors ,Pune,,Operations, Sales, Digital Marketing, Community building,,Agri Tech, Food Tech,,,,,,,
344,networking,"Working Professional, Freelancer",Ideation (brainstorming around few ideas),website development expert,Help to execution of idea,Networking,Pune,,Digital Marketing,,,,,Web development,,,,,,,,
345,working over community management as a domain,"Startup Founder (Service-based), Mentor, Freelancer","Growth (multiple customer, positive revenue, making profits)",,Nothing as such ,Connects n mentoring ,Bangalore,,Digital Marketing, Community building, Content ,,,Community Management ,,,,,,,,
346,digital marketing data science environmental sustainability,"Startup Founder(Product-based), Freelancer",Ideation (brainstorming around few ideas),,Can you do something like a Y Combinator startup school for new entrepreneurs in Pune? ,I am connected to people in the environmental sustainability space in case it helps. ,Pimpri Chinchwad, Pune,Sales, Digital Marketing,,,,Food Tech, AI, Shared economy,,,,,,
347,i am a professional automotive detailer interests are mainly all related to automobiles cars  life ,Startup Founder (Service-based),"Growth (multiple customer, positive revenue, making profits)",pushconnect,Looking for CRM and Store management software for multiple outlets.,"Well, I can help connecting a lot of people who need help or links in automotive industry. Specifically passenger car segment.",Pune,,Operations,,,,,Automotive,,,,,,,,
348,born and brought up in bombay engineering from pune thoroughly enjoying the startup journey  real world mba love listening to podcasts,"Startup Founder (Service-based), Mentor","Growth (multiple customer, positive revenue, making profits)",pushconnect,"Networks, Wisdom from the Experts.","I'd love to help the push starters go from idea to execution. Specifically would help to help across Launch, Technology, Branding, Brainstorming and Strategic Decision Making Frameworks. ",Kharadi, Pune.,Operations, Sales, Product Development, Product Design, Community building,Strategy - Mfg, Product, Service.,,,,,,
349,cofounder parikshaco product geek specialises in hierarchy of engagement,Startup Founder (Service-based),"Growth (multiple customer, positive revenue, making profits)",pushtalent,Hiring,Deep understanding of internet products for the next billion.,Pune,,Sales, Product Development,,,,Education Technology,,,,,,,,
350,saas investing syndicate,"Startup Founder(Product-based), Angel Investor","Growth (multiple customer, positive revenue, making profits)",investor & pushtalent,Team building and raising funds upto 1 Cr for multiple ,"Mentoring, Product marketing, Evangelism Go to market strategy",Baner, Pune,Operations, Sales, Product Development, Product Design," Digital Marketing, Community building",Agri Tech, Fin Tech, Health Tech, Food Tech, VR, AR, AI, Blockchain,
351,i am working as a community manager for livspace and also am a freelancing makeup artist,"Startup Founder (Service-based), Working Professional, Freelancer","Sold one company, on to another",pushconnect,Strong connect with like minded people ,With my references and ideas,Wadgaon Sheri and Pune,,Operations, Sales,,,,Makeup and interiors ,,,,,,,,
352,in branding,"Post-Graduate Student, Working Professional, Freelancer",Don't have a startup,,Looking for good networking. ,My understanding on branding. ,Bangalore ,,Product Development, Digital Marketing, Community building,,,Agri Tech, Fin Tech, Health Tech, VR, AR, AI,,,
353,user experience design product design,"Working Professional, Freelancer",Don't have a startup,,Leads,Branding,Mumbai,,Product Design,,,,,Fin Tech, Health Tech,,,,,,,
354,im currently in my senior year of engineering in it stream im a mobile  web developer amateur photographer and a tech blogger as well,Under-Graduate Student,Don't have a startup,,Gain knowledge from industry experts.,By sharing my knowledge with others,Jagatpura, Jaipur,Product Development, Product Design, Community building,,,VR, AR, AI, Blockchain, Mobile & Web Application Development,,,,
355,a corporate professional and a management student from symbiosis currently working on my startup area of interests is entrepreneurship and technology,"Post-Graduate Student, Startup Founder (Service-based), Working Professional",MVP (proof of concept is out with select customers),pushconnect & nothing specific,Creating awareness about the startup idea and also looking for experts from varied industries to help contribute to the startup.,A platform to promote their ideas to a larger audience. ,Mumbai and Pune,,Product Development, Community building,,,,Fin Tech, Food Tech, AR, AI,,,,,
356,pursuing be l in computer science and having interest in blockchain debugging applications shortly having an experience as a penetration tester,Under-Graduate Student,Don't have a startup,na,Guidance and expertise to do startup planning,By sharing knowledge that I have... Opportunities with which i'm going to be familiar with...,Pune,,Operations, Product Design, Cyber security,,,Blockchain, Security,,,,,,,
357,engineering graduate worked with several startups building mvps for them currently assisting several vcs in making fine investment decisions,Working Professional,Don't have a startup,,I am looking to learn more about the startups PushStarters are building. ,"I can probably help PushStarters in raising funds, if needed.",Gurugram, Haryana ,Sales, Product Development,,,,Agri Tech, Fin Tech, Health Tech, Food Tech, AI, Blockchain,,,
358,im pursuing btech in cse from srm institute of science and technology academically i have developed an enthusiasm towards data science and trying to explore it in life i have an aspiration towards entrepreneurship and would like to work on it when i can,"Under-Graduate Student, Freelancer",Don't have a startup,,Networking with Like minded people. And learn from their experience. Help me explore Data Science if possible,I can help in exploring Youth and how to penetrate your services to reach youth Masses. Also I can help explore Digital Marketing.,Modinagar, Ghaziabad,Digital Marketing,,,,,Digital Marketing,,,,,,,,
359,i want to open a startup and i love yo connect with like minded people and learn from them,Working Professional,Ideation (brainstorming around few ideas),,Yes i want to learn a lot from other pushstarters but there is nothing specific.,I will contribute my knowledge whatever i knwo and get to know something important.,North Delhi,,Product Development,,,,,Marketing automation,,,,,,,,
360,a nitbhopal graduate with entrepreneurial mindset after graduation was busy building an awesome product  inone previously getyanacom where i dynamically overlooked domains of business development operations and marketing post that i worked as a strategy and innovation consultant for bank of baroda where i assisted senior management to incorporate new and innovative technologies into the banking system,"Startup Founder(Product-based), Freelancer",MVP (proof of concept is out with select customers),,1. Connections 2. General Questions on the go,1. Digital marketing 2. Connections 3. My 2 cents on building a startup from scratch,Bhopal / Mumbai,,Operations, Product Development, Digital Marketing,,,AI, Media / Education,,,,,,,
361,ex boeing  ex airbus now founder of company called airytails,"Startup Founder(Product-based), Startup Founder (Service-based)",MVP (proof of concept is out with select customers),,Looking for organic ways to promote Airytails and looking for collaborations. ,Any help with Digital Marketing and community building,Bangalore,,Operations, Sales,,,,Aerospace & Aviation,,,,,,,,
362,currently working in tata motors as senior manager in development apart from this i am a part of a non profit edtech startup internity foundation free time trading  music entertains me,Working Professional,Early Growth (seeking seed/angel funding),investor,"Knowledge sharing, experience & funds","Through our product, we can collaborate with other edtech startups & offer technical, knowledge sharing & workshop based support.",Pune,,Operations, Product Development,,,,Automobile / Edtech ,,,,,,,,
363,trying my luck with entrepreneurship,"Startup Founder (Service-based), Freelancer",MVP (proof of concept is out with select customers),,Need help with inputs on finding client leads.,Help them connect with freelancers in technology domian.,Bengaluru,,Operations, Product Development,,,,AI,,,,,,,,
364,tech consultant 8 years startup experience,"Angel Investor, Mentor","Sold one company, on to another",,Connect with the community,"Network, Startup support, Incubation, Mentoring",Nomad,,Operations, Product Development, Community building,,,Hardware,,,,,,,,
365,i am currently working as a manager in the analytics domain for bankingfinance clients however i am an aspiring entrepreneur and wish to start my own thing i love to read about startups and i stay abreast with all the happenings in the startup eco system,Working Professional,Don't have a startup,,I want to interact and learn from the experience of pushstarters in order to use the knowledge for my own startup,I can help pushstarters by providing my knowledge and experience to them. I have worked in a startup before and understand the challenges which an early stage venture faces.,Koramangala, Bangalore,Product Development, Risk Manager,,,,Fin Tech, Health Tech, Hospitality,,,,,,
366,digital marketing  growth hacking,Startup Founder (Service-based),Early Growth (seeking seed/angel funding),pushconnect,Networking,Helping them growth their business with my powerful digital marketing & growth skillsets,Pune,,Digital Marketing,,,,,Edtech,,,,,,,,
367,coaching entrepreneurship career transitions creating high potential entrepreneurs and professionals,"Startup Founder (Service-based), Angel Investor, Mentor, Freelancer","Growth (multiple customer, positive revenue, making profits)",fb,Knowledge exchange,Helping them scale up globally and be specialists in investor relations,Pune, India,Sales, Product Development, Community building,,,Strategy, revenue scale-up, investor relations across sectors,,,,,,
368,founder of smidnya technologies smidnya is working on track and trace solutions,"Startup Founder(Product-based), Startup Founder (Service-based), Angel Investor","Growth (multiple customer, positive revenue, making profits)",tech investor,Seeking investors ,Sharing experiences ,Pune ,,Operations, Sales, Product Development,,,Agri Tech, AI,,,,,,,
369,an engineer  turned product manager  turned startup cofounder,"Startup Founder(Product-based), Angel Investor","Growth (multiple customer, positive revenue, making profits)",growth hack expert,Growth mentoring,"Networking, guidance, mentoring, and brain storming",Pune, IN,Product Development, Product Design,,,,Health Tech, AI,,,,,,,
370,i am the founder  ceo of indian insiders indian insiders helps you to understand the indian market by providing a personalized assessment of your product or service in india,"Startup Founder(Product-based), Startup Founder (Service-based)",Early Growth (seeking seed/angel funding),pushconnect,Networking & Business,Connecting like minded people and active community ,Magarpatta, Pune,Product Development, Product Design, Market & User Research,,,Market & User Research,,,,,,,,
371,women entrepreneurs,"Startup Founder (Service-based), Freelancer",Early Growth (seeking seed/angel funding),sports investor,"Connecting with investors, help developing pitch ",Mentor Female Entrepreneurs ,Pune,,Digital Marketing, Community building,,,,Sports, Digital Marketing,,,,,,,
372,i am be mechanical from pune and have launched an app shareameals  meal sharing app for solo travelers students and tourists for having complete meal at economical cost,Startup Founder(Product-based),MVP (proof of concept is out with select customers),food investor & pushconnect,"Brand building , networking & seed funding",With my experience in  sales & business development and can help community members to grow their business revenue,Pune,,Sales,,,,,Food Tech,,,,,,,,
373,i manage the community umbrella for redbrick offices and i enjoy meeting  interacting with new people,Working Professional,Don't have a startup,,Nope nothing specific,Yes maybe,Mumbai,,Community building,,,,,All of the above,,,,,,,,
374,experienced professional with a demonstrated history of working in the information technology and services industry skilled in business development sales and marketing negotiation customer relationship management crm market research management and startups,"Startup Founder(Product-based), Startup Founder (Service-based)",Early Growth (seeking seed/angel funding),,Restaurant connects and networking,"I have some experience in Business Developement, Sales and strategy growth for early stage startups. ",Navi Mumbai,,Operations, Sales, Strategic Growth,,,Food Tech,,,,,,,,
375,startup mentoring advisor consulting,"Startup Founder(Product-based), Startup Founder (Service-based), Mentor",8 years old company. Working on product and services,,I am here to help startup community,"Mentoring, Advising, Consulting",Kharadi Pune,,Product Development, Product Design, Digital Marketing,,,Health Tech, AI, Data Analytics, Machine Learning,,,,,
376,mentoring startup building entrepreneurship coaching,"Working Professional, Mentor",Early Growth (seeking seed/angel funding),na,,Support in their startup journey or network connects,Pune,,Sales, Digital Marketing,,,,Health Tech, MarkTech,,,,,,,
377,founder smart foods a company that envisions to provide health foods made with traditional  contemporary ingredients which promotes nutritional and responsible eating formerly worked as global brand manager for a luxury tech company in singapore passionate about millets and wish to position it as the new quinoa in the 350 billion global health food market,Startup Founder(Product-based),Early Growth (seeking seed/angel funding),food industry expert,Mentorship ,Brand & Marketing Strategy for their product / service,Wanowrie, Pune,Product Development, Brand & Marketing Strategy,,,,Agri Tech, Health Tech, Food Tech,,,,,,
378,i am founder of company sapiens innospace we are communities enablers i am here to meet like minded people making good connection etc,"Startup Founder(Product-based), Mentor",Early Growth (seeking seed/angel funding),,Good connection. ,"Giving mentorship in product development and launching them in to market, ",Bangalore,,Product Development, Digital Marketing, Community building,,,Agri Tech, Fin Tech, Health Tech, VR, AI, Blockchain,,,
379,rahul is born with the mind focused at business and betterment of humanity in and around his first open source project was a quiz knowledge base while he was in class 510 he is a from a science background and did bachelor of technology in computer science  engineering he has earned various awards in business those are critical for a business personal to achieve just at the start of his career out of the box thinking made him the patent holder of a unique product in education  training rahul loves to reach out to people those who think and are willing to bring a change to the way things traditionally works he always wears the users hat and be the critic of our own services his core strengths are his wide industry experience out of the box thinking network and his willingness to go for it,"Startup Founder(Product-based), Startup Founder (Service-based)",MVP (proof of concept is out with select customers),,"Looking for external projects (Project Cost > $10000) in
Deep Learning
Analytics
Digital currencies
Blockchains
Automation
Application Optimisation
Industrial IoT
Assisted Automation
Artificial Intelligence",Providing our services and high end experienced resources at a reasonable cost.,Hyderabad,,Operations, Product Design,,,,AI, Blockchain,,,,,,,
380,engineermba with a experience in youth marketing media and entertainment cofounder of flarepath content marketing firm atkt campus platform kleinetics kids fitness i love teaching dad jokes coffee and jedis,"Startup Founder(Product-based), Mentor","Sold one company, on to another",,Funding connections,"Marketing, Brand building, digital/social/content marketing, team building",Mumbai,,Digital Marketing, Community building,,,,Media and content,,,,,,,,
381,business strategy finance compliances,Startup Founder(Product-based),MVP (proof of concept is out with select customers),cloth export import expert,Export regulations,Company formation guidance,Pune,,Operations, Sales, Product Development,,,Market analysis and finance,,,,,,,,
382,philosophy and politics,"Startup Founder (Service-based), Working Professional, Freelancer",MVP (proof of concept is out with select customers),wedding management expert,"Mentorship 
Expansion ","Discussion, 
Brain storming,
Networking,
Free lancing etc ",Pune,,Operations, Sales, Product Design,,,App Tech,,,,,,,,
383,i am an data analyst with 12  years of experience in analytics industryi have worked primarily in the bfsi and consulting domain with big players like citibank and deloitte i am currently a founding member of an online teaching platform called irizpro learning solutionsapart from exploring the new techniques and tools in the analytics and data science world my interest lies in training and travelling,Startup Founder (Service-based),Early Growth (seeking seed/angel funding),,"networking, discussion on training needs of other start ups","other pushstarters could be made aware of our customised training solutions in the area of digital marketing, sales and analytics...upskilling is the key to growth and being updated with recent trends in the market on the above mentioned functional areas is critical for not only working professionals but entreprenuers as well",Mumbai,,Analytics,,,,,AI, Data science and analytics,,,,,,,
384,ashish has worked for more than 13 years in the it industry for top banking institutes in the world for compliance and financial crime domains ashish is also a lawyer too and is now focusing on his passion for technology  law by way of expanding our family law office into nyaya niti  a strategic legal consultancy firm the firm will provide corporate  professional legal solutions across the domains jurisdictions and forums the firm will be driven by the core ethical values  will be operated using cuttingedge technologies and crossdomain expertise the firm has an excellent mix of the wealth of wisdom  experience of the seniors with a plethora of freshness  technology expertise from youngsters in the last few years he has participated in the world banks land and poverty conference in washington dc and presented papers the topics of issues  possible solutions for land acquisition and investment landscape in india during march 2017 and 2018 respectively later presented the subject of vedic jurisprudence and its contemporary application during world hindu congress at chicago he was also invited to speak on the role of adr arbitration  mediation in resolving technology disputes at national law school india university bangalore he also gave a presentation on the legal aspects of blockchain in financial industry at an industry conference organized by thoughtworks we at nyaya niti also realized that as a society there is a need for interdisciplinary legal research and policy organization therefore we had several consultations with seniors and colleagues from various domains such as medicine finance engineering technology sciences media and law we have decided to incorporate nyaya niti foundation which will be dedicated to the quality legal aid policy research on the current legal challenges and will also conduct a study of vedic  indic jurisprudence,"Startup Founder (Service-based), Mentor, Techno Legal Expert","Growth (multiple customer, positive revenue, making profits)",pushconnect,Community network,Can help by advising in Legal and domain issues for domestic and international operations. ,Pune,,Operations, Community building, Legal,,,Agri Tech, Fin Tech, Health Tech, Food Tech, AI, Blockchain, Reg Tech and Legal Tech,,
385,originally from kolhapur maharashtra completed the standard process of engg  mba and worked for 8 years in it companies such as ibm united health group etc as a project manager caught the entrepreneurial bug 3 years ago and been on a journey in food industry since then launched a venture named mummas box wwwmummasboxcom,Startup Founder (Service-based),Early Growth (seeking seed/angel funding),pushconnect,Looking to interact with like-minded fellow entrepreneurs within the city,"Over the last 3 years, I hve built a decent network in the Food sector and can certainly help provide help in that sector. ",Wanowrie, Pune,Operations, Sales,,,,Food Tech,,,,,,,,
386,an engineer by education and entrepreneur by choice with a demonstrated history of working in the information technology and services industry keen interest in business development and marketing,"Startup Founder(Product-based), Startup Founder (Service-based)","Growth (multiple customer, positive revenue, making profits)",pushconnect,Networking & Business/Lead Generation,Having good Network & various domains expertise ,Wakad, Pune,Operations, Sales, Product Development,,,Health Tech, Blockchain,,,,,,,
387,music art concert lighting visual artist,"Working Professional, Freelancer","Growth (multiple customer, positive revenue, making profits)",,No clue yet..,No clue yet,Kolkata,,Digital Marketing,,,,,VR,,,,,,,,
388,an entrepreneur at heart who likes to solve problems with a scalable tech based solution,Startup Founder(Product-based),MVP (proof of concept is out with select customers),pushconnect & blockchain plus pharma manufacturing expert,Networking and access to leads,"Brainstorm Product - Market fitment, Scaling up products, Tech design considerations",Baner, Pune,Product Development, Product Design, Digital Marketing,,,AI, Blockchain,,,,,,,
389,i am from the jbims 2004 marketing batch ive been a corporate banker for several years icici bank hsbc citibank before quitting to be an author writing is my passion my first novel a crime thriller called shot down has been published by hachette my startup readify is a perfect combination of my interests in literature and startups,Startup Founder(Product-based),Early Growth (seeking seed/angel funding),"investor, hr expert, story writing product expert","1. Hiring: being a small startup, we don't have an HR team, hence referrals from fellow entrepreneurs could be helpful
2. Product feedback: we are about to launch a new product; it would be nice to receive some unbiased feedback
3. Word-of-mouth: with a limited marketing budget, any help in spreading word about our new product would be helpful
4. Fund-raising: connections with the relevant angel investors would be great","1. Product testing and feedback
2. Ideation on startup ideas and solutions",Pune,,Sales, Product Development, Marketing,,,Pub Tech,,,,,,,,
390,startup product development sales mentoring,"Startup Founder (Service-based), Angel Investor, Mentor","Sold one company, on to another",,Networking and Community building,"Mentoring, Sales Knowledge, Investments and M&A",Madhapur," HiTec City, Hyderabad",Sales, Product Development, Community building,,,Agri Tech, Fin Tech, Health Tech, AI, Blockchain,,,,
391,we deal with corporate events wedding planner csr activities supply of merchandise products sales and services audio  visual technical support photography decoration setups printing catering celebrity  artist management,"Startup Founder(Product-based), Startup Founder (Service-based), Working Professional, Mentor",Early Growth (seeking seed/angel funding),event planning investor,Investor and Corporate Links,"Networking, Marketing, Motivation Speech or Guidance",Wakad, Pune,Operations, Sales, Events,,,Food Tech, Corporate Events, Wedding Planner, CSR Activities, Supply of Merchandise Products (Sales and Services), Audio - Visual Technical Support, Photography, Decoration Setups, Printing
392,hello i graduated as a btech in etc from college of engineering pune in 2013 right after graduation i started a startup called embedgallery embedgallery is an hardware iot startup currently having products in agriculture and water management solutions my main interests are agriculture education and spirituality,Startup Founder(Product-based),"Growth (multiple customer, positive revenue, making profits)",na,Not as such right now but I'm sure I'll be needing a lot of help in coming times.,I can help in preparing go to market strategies for products.,Alankapuram Society, Pune,Sales, Product Design, Digital Marketing,,,Agri Tech,,,,,,,,
